Name,Description,Outlook Booked,WiFi Count,Tenant Complaint,Logic Action,Energy Reduction %,Hourly Savings SGD,Energy Saved kWh,Carbon Avoided Tonnes
North Wing - Slot 1,Team collaboration area with dynamic usage,True,34,False,Maintain Normal Comfort,0,0.0,0.0,0.0
North Wing - Slot 2,Meeting scheduled in calendar but attendees not present,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
East Wing - Slot 3,Meeting scheduled in calendar but attendees not present,True,38,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Central Hub - Slot 4,Unscheduled visitors occupying the space,False,0,False,Eco-Mode (No Booking),60,9.0,30.0,0.012
Meeting Room 202 - Slot 5,Unscheduled visitors occupying the space,True,8,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Cafeteria - Sloat 6,Executive meeting in progress,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Meeting Room 101 - Slot 7,Meeting scheduled in calendar but attendees not present,True,14,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Meeting Room 202 - Slot 8,Training session with full capacity expected,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
North Wing - Slot 9,Training session with full capacity expected,True,32,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 10,Training session with full capacity expected,True,56,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 11,Regular working hours with standard occupancy,True,46,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 12,Regular working hours with standard occupancy,True,42,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 13,Post-meeting cleanup period,False,23,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
East Wing - Slot 14,Standard office space with scheduled occupancy,True,38,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Lobby Area - Slot 15,Meeting scheduled in calendar but attendees not present,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
West Wing - Slot 16,Unscheduled visitors occupying the space,True,18,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Conference Suite B - Slot 17,Post-meeting cleanup period,True,20,True,TENANT OVERRIDE -> Reverting to Max Comfort,0,0.0,0.0,0.0
Conference Suite A - Slot 18,Regular working hours with standard occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Lobby Area - Slot 19,Standard office space with scheduled occupancy,False,6,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Training Center - Slot 20,Off-peak hours with minimal activity,False,19,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Conference Suite A - Slot 21,Standard office space with scheduled occupancy,True,26,False,Maintain Normal Comfort,0,0.0,0.0,0.0
North Wing - Slot 22,Early morning setup before main occupancy,False,4,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Executive Floor - Slot 23,Off-peak hours with minimal activity,True,11,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 24,Training session with full capacity expected,True,41,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Conference Suite B - Slot 25,Early morning setup before main occupancy,True,22,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 26,Team collaboration area with dynamic usage,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Meeting Room 202 - Slot 27,Early morning setup before main occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Training Center - Slot 28,Unscheduled visitors occupying the space,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite A - Slot 29,Early morning setup before main occupancy,True,0,False,GHOST MEETING DETECTED -> Entering Deep Save,80,12.0,40.0,0.016
Conference Suite B - Slot 30,Standard office space with scheduled occupancy,True,20,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Open Plan - Slot 31,Off-peak hours with minimal activity,True,47,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 32,Regular working hours with standard occupancy,True,22,False,Maintain Normal Comfort,0,0.0,0.0,0.0
Hot Desk Area - Slot 33,Team collaboration area with dynamic usage,False,14,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
Executive Floor - Slot 34,Executive meeting in progress,True,12,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 35,Off-peak hours with minimal activity,True,29,False,Maintain Normal Comfort,0,0.0,0.0,0.0
South Wing - Slot 36,Early morning setup before main occupancy,False,18,False,UNSCHEDULED OCCUPANCY -> Adjusting for Comfort,19,3.0,10.0,0.004
